method,candidate,label,window,raw_delta,norm_delta,mpc_abs_mean
Residual,current_bonus,Current bonus,Release,-4.3296086421932465,-0.24415140068938668,17.733294300045582
Residual,current_bonus,Current bonus,Early,-0.9110753430932981,-0.05137654220800679,17.733294300045582
Residual,current_bonus,Current bonus,Mid,0.16693031501625927,0.009413384348774395,17.733294300045582
Residual,current_bonus,Current bonus,Tail,-2.8400635485640664,-0.16015431202519237,17.733294300045582
Residual,current_bonus,Current bonus,Full,-1.8480292636829068,-0.10421240590803013,17.733294300045582
Residual,pure_quad_QR,Pure quad Q/R,Release,0.1537111975938936,0.05656590259006308,2.7173825671597434
Residual,pure_quad_QR,Pure quad Q/R,Early,0.4780266687169783,0.1759143797027521,2.7173825671597434
Residual,pure_quad_QR,Pure quad Q/R,Mid,0.6487750557406523,0.23874998816186693,2.7173825671597434
Residual,pure_quad_QR,Pure quad Q/R,Tail,0.04820530601391052,0.01773960965102369,2.7173825671597434
Residual,pure_quad_QR,Pure quad Q/R,Full,0.2370898299257168,0.08724933794417006,2.7173825671597434
Residual,pure_quad_output,Pure quad output only,Release,0.2023554869629267,0.09386855492598811,2.155732418832659
Residual,pure_quad_output,Pure quad output only,Early,0.5273438102800597,0.24462396430704478,2.155732418832659
Residual,pure_quad_output,Pure quad output only,Mid,0.6657469919678781,0.3088263581100588,2.155732418832659
Residual,pure_quad_output,Pure quad output only,Tail,0.14817191779287914,0.06873390987602952,2.155732418832659
Residual,pure_quad_output,Pure quad output only,Full,0.3015134664924083,0.13986590536857046,2.155732418832659
Residual,no_bonus,No bonus,Release,0.062327808316962025,0.017517651076185786,3.5580003304034875
Residual,no_bonus,No bonus,Early,0.558273443615539,0.1569065182049124,3.5580003304034875
Residual,no_bonus,No bonus,Mid,0.7640756589347214,0.2147486194437967,3.5580003304034875
Residual,no_bonus,No bonus,Tail,-0.05000380122224543,-0.014053905727595828,3.5580003304034875
Residual,no_bonus,No bonus,Full,0.21622863483864627,0.06077251679572646,3.5580003304034875
Residual,low_bonus,Low bonus beta=3,Release,-1.8199306704731273,-0.3269234604151002,5.5668402266461126
Residual,low_bonus,Low bonus beta=3,Early,-0.07144746497396261,-0.012834473788554908,5.5668402266461126
