method,variant,style,window,alpha,B_col_1,B_col_2,A_block_1,A_block_2,A_block_3,A_off
Scalar matrix,"BC-only, 2026-04-27",old,11-20,0.8426673151798695,0.9638006681049798,0.9481208264247816,,,,
Scalar matrix,"BC-only, 2026-04-27",old,21-40,0.8971364345402707,0.9561304923871558,0.9939227423328971,,,,
Scalar matrix,"BC-only, 2026-04-27",old,101-200,0.9502630141647582,1.0140717862503692,1.0580171910707337,,,,
Scalar matrix,"Stronger BC, 2026-04-27",new,11-20,0.8912054795260617,0.9631681763171739,1.0058792975471005,,,,
Scalar matrix,"Stronger BC, 2026-04-27",new,21-40,0.9303674092500911,0.9371664964867861,1.0696383435962615,,,,
Scalar matrix,"Stronger BC, 2026-04-27",new,101-200,0.9455269596413647,0.9750098782517836,1.0177000323691994,,,,
Structured matrix,"BC-only, 2026-04-27",old,11-20,,1.1838887455036942,0.8087565303443445,0.9048686074316244,0.8347189778302453,0.8815705433866793,0.8360025000719139
Structured matrix,"BC-only, 2026-04-27",old,21-40,,1.2653477045936825,0.9002895168606034,0.8813260137176359,0.8539894773523866,0.8854534596011124,0.8632687638053548
Structured matrix,"BC-only, 2026-04-27",old,101-200,,0.9903016714304529,0.8433899910735491,0.8754514431247988,0.8136507663543392,0.8821831600870063,0.857507916613077
Structured matrix,"Stronger BC, 2026-04-27",new,11-20,,0.9518910596382241,0.9958102066990161,0.9287109368244675,0.8658897460676208,0.8183150362814938,0.8670143967085434
Structured matrix,"Stronger BC, 2026-04-27",new,21-40,,1.003302542721319,1.0208933364569726,0.9599091759708751,0.8866273819087588,0.8230559567684532,0.8671830261063811
Structured matrix,"Stronger BC, 2026-04-27",new,101-200,,1.0968237345066167,1.0419147108904567,0.8105111608646933,0.8781254828134488,0.8014982689545378,0.8727068298651895
