method,episodes,rl_mean_reward,mpc_mean_reward,mean_reward_delta,median_reward_delta,win_rate
scalar_matrix_20260424,1-10,-4.312322701899682,-4.312317956796554,-4.74510312766796e-06,-1.896318857097512e-05,0.4
scalar_matrix_20260424,11-15,-4.417391913870252,-4.417330450646451,-6.1463223801006e-05,-7.14547130895582e-05,0.4
scalar_matrix_20260424,16-30,-5.160341532129397,-4.417405328632174,-0.742936203497223,-0.8729593939629448,0.13333333333333333
scalar_matrix_20260424,31-100,-4.054894793245932,-4.417382137106738,0.36248734386080617,0.5409957006776,0.7857142857142857
scalar_matrix_20260424,101-200,-3.6922695854947163,-4.417371395801705,0.7251018103069878,0.7226632265579493,1.0
scalar_matrix_20260424,1-200,-3.97842451823488,-4.412124004641613,0.433699486406733,0.663554433982714,0.815
structured_matrix_20260423,1-10,-4.312322701899682,-4.312317956796554,-4.74510312766796e-06,-1.896318857097512e-05,0.4
structured_matrix_20260423,11-15,-6.115875344260706,-4.417330450646451,-1.698544893614256,-1.7959503049377092,0.0
structured_matrix_20260423,16-30,-6.28101930496767,-4.417405328632174,-1.863613976335496,-1.712711109252096,0.0
structured_matrix_20260423,31-100,-4.9873219224203025,-4.417382137106738,-0.5699397853135646,-0.5492412590721099,0.15714285714285714
structured_matrix_20260423,101-200,-3.6852216094068173,-4.417371395801705,0.7321497863948886,0.7446079749125343,1.0
structured_matrix_20260423,1-200,-4.427762944124591,-4.412124004641613,-0.015638939482978315,0.5152830347323174,0.575
