episode,alpha_low,alpha_high,B_col_1_low,B_col_1_high,B_col_2_low,B_col_2_high,phase
1,1.0,1.0,1.0,1.0,1.0,1.0,warm start
10,1.0,1.0,1.0,1.0,1.0,1.0,warm start
11,1.0,1.0,1.0,1.0,1.0,1.0,action freeze
15,1.0,1.0,1.0,1.0,1.0,1.0,action freeze
16,0.9499405705573116,1.052697432865005,0.6,1.3,0.7559393352592602,1.3,protected live release
30,0.9499405705573116,1.052697432865005,0.6,1.3,0.7559393352592602,1.3,protected live release
45,0.7549598282918019,1.0546469113239578,0.6,1.3,0.6734713068539417,1.3,authority ramp
60,0.6,1.0566,0.6,1.3,0.6,1.3,authority ramp
61,0.6,1.0566,0.6,1.3,0.6,1.3,full authority
101,0.6,1.0566,0.6,1.3,0.6,1.3,full authority
200,0.6,1.0566,0.6,1.3,0.6,1.3,full authority
