method,variant,style,window,bc_weight_mean,policy_nominal_distance_mean,actor_target_distance_mean,multiplier_distance_mean,action_saturation_mean
Scalar matrix,"Stronger BC, Step 4B-4C",baseline,11-20,0.10887102391299433,1.0195715404543568,1.1039224433763664,0.49834873488075926,0.13020833333333331
Scalar matrix,"Stronger BC, Step 4B-4C",baseline,21-40,0.003535144253452818,1.062900156341564,1.1737622966828332,0.4400557218533897,0.0715625
Scalar matrix,"Stronger BC, Step 4B-4C",baseline,101-200,0.0,1.0091254107221548,,0.34081826031780105,0.04320753568636263
Scalar matrix,Step 4G,step4g,11-20,0.10887102391299433,0.7884309154458107,0.851966991207592,0.3262880979451888,0.15579166666666666
Scalar matrix,Step 4G,step4g,21-40,0.003535144253452818,1.2176896228198075,1.216341793879781,0.44969862791473264,0.145375
Scalar matrix,Step 4G,step4g,101-200,0.0,1.2082721955313525,,0.41868282339057916,0.07345890985023731
Structured matrix,"Weighted BC, Step 4E",baseline,11-20,0.2571028626386599,1.6622712932484662,1.7472791351921992,0.6617059241806781,0.696625
Structured matrix,"Weighted BC, Step 4E",baseline,21-40,0.016372332669289943,1.9031715930298883,1.9934109882640156,0.6635493637182692,0.5951770833333333
Structured matrix,"Weighted BC, Step 4E",baseline,101-200,0.0,1.9144318536337388,,0.6293190862334179,0.43775
Structured matrix,Step 4G,step4g,11-20,0.2571028626386599,1.2148146124638548,1.2599301776562513,0.40896704233560705,0.5209166666666667
Structured matrix,Step 4G,step4g,21-40,0.016372332669289943,1.735912508486102,1.822214749729091,0.6351703146408929,0.6076875
Structured matrix,Step 4G,step4g,101-200,0.0,2.075299154087186,,0.6310733233848718,0.5325916666666666
