run_id,family,variant_key,variant_label,run_path,base_state_norm_mode,mismatch_feature_transform_mode,observer_update_alignment,rho_mapping_mode,candidate_guard_mode,blend_validity_mode
baseline,baseline,baseline,baseline,Polymer/Data/mpc_results_dist.pickle,n/a,n/a,n/a,n/a,n/a,n/a
residual:legacy,residual,legacy,legacy,Polymer/Results/td3_residual_disturb/20260413_004620/input_data.pkl,legacy_fixed_minmax,legacy_hard_clip,legacy_previous_measurement,legacy_clipped_linear,n/a,n/a
residual:refreshed_current_observer,residual,refreshed_current_observer,refreshed (current-observer run),Polymer/Results/td3_residual_disturb/20260420_225631/input_data.pkl,running_zscore_physical_xhat,signed_log,current_measurement_corrector,exp_raw_tracking,n/a,n/a
matrix:legacy,matrix,legacy,legacy,Polymer/Results/td3_multipliers_disturb/20260411_011134/input_data.pkl,legacy_fixed_minmax,legacy_hard_clip,legacy_previous_measurement,legacy_clipped_linear,n/a,n/a
matrix:refreshed_current_observer,matrix,refreshed_current_observer,refreshed (current-observer run),Polymer/Results/td3_multipliers_disturb/20260420_215528/input_data.pkl,running_zscore_physical_xhat,signed_log,current_measurement_corrector,legacy_clipped_linear,n/a,n/a
matrix:refreshed_legacy_observer,matrix,refreshed_legacy_observer,refreshed (legacy-observer run),Polymer/Results/td3_multipliers_disturb/20260420_234944/input_data.pkl,running_zscore_physical_xhat,signed_log,legacy_previous_measurement,legacy_clipped_linear,n/a,n/a
structured:legacy,structured,legacy,legacy,Polymer/Results/td3_structured_matrices_disturb/20260409_193654/input_data.pkl,legacy_fixed_minmax,legacy_hard_clip,legacy_previous_measurement,legacy_clipped_linear,n/a,n/a
structured:refreshed_legacy_observer,structured,refreshed_legacy_observer,refreshed (legacy-observer run),Polymer/Results/td3_structured_matrices_disturb/20260420_235100/input_data.pkl,running_zscore_physical_xhat,signed_log,legacy_previous_measurement,legacy_clipped_linear,n/a,n/a
reidentification:legacy,reidentification,legacy,legacy,Polymer/Results/td3_reidentification_disturb/20260415_120803/input_data.pkl,legacy_fixed_minmax,legacy_hard_clip,legacy_previous_measurement,legacy_clipped_linear,fro_only,n/a
reidentification:refreshed_legacy_observer,reidentification,refreshed_legacy_observer,refreshed (legacy-observer run),Polymer/Results/td3_reidentification_disturb/20260420_234346/input_data.pkl,running_zscore_physical_xhat,signed_log,legacy_previous_measurement,legacy_clipped_linear,fro_only,off
