run_id,family,variant_key,view,full_span_med,late_span_med,late_full_ratio_med
residual:legacy,residual,legacy,actual,0.42227135983555913,0.004721621186885017,0.01118148573638456
residual:refreshed_current_observer,residual,refreshed_current_observer,actual,2.2758358417265576,0.015260989886011678,0.006705663741737173
residual:refreshed_current_observer,residual,refreshed_current_observer,fixed counterfactual,0.5049192893123994,0.003507372759552374,0.0068494833432496
matrix:legacy,matrix,legacy,actual,0.4786675672387617,0.0034063888376592577,0.0070508616508397955
matrix:refreshed_current_observer,matrix,refreshed_current_observer,actual,2.482422241291098,0.013478039618394722,0.005429390453489028
matrix:refreshed_current_observer,matrix,refreshed_current_observer,fixed counterfactual,0.5401665088361736,0.003271622402672314,0.006017469702149662
matrix:refreshed_legacy_observer,matrix,refreshed_legacy_observer,actual,2.273337533230558,0.01482267253035036,0.006520225137569603
matrix:refreshed_legacy_observer,matrix,refreshed_legacy_observer,fixed counterfactual,0.5031388017620652,0.003668051949142437,0.007250287298479598
structured:legacy,structured,legacy,actual,0.45012287025541353,0.004928160908995505,0.01055256686308077
structured:refreshed_legacy_observer,structured,refreshed_legacy_observer,actual,2.168854169654064,0.013690461908909098,0.00631223731922938
structured:refreshed_legacy_observer,structured,refreshed_legacy_observer,fixed counterfactual,0.47168963148368825,0.003352457402336584,0.007041936321165069
reidentification:legacy,reidentification,legacy,actual,0.3334432093911155,0.016780704838920163,0.05215386988858473
reidentification:refreshed_legacy_observer,reidentification,refreshed_legacy_observer,actual,2.1263682866543063,0.011452128595497147,0.005354841346024868
reidentification:refreshed_legacy_observer,reidentification,refreshed_legacy_observer,fixed counterfactual,0.4617538739819267,0.0028822812783270424,0.006162332824871262
