system,run_label,state,state_index,state_mode,full_span_ratio,late_full_ratio,outside_frac,saved_min,saved_max
distillation,Horizon DDQN standard,x1,0,standard,0.14552390202773435,0.9848828130110183,0.0,-0.2,0.5
distillation,Horizon DDQN standard,x2,1,standard,0.18493920141326933,0.9692331527333041,0.0,-0.2,0.5
distillation,Horizon DDQN standard,x3,2,standard,0.2293077104302217,0.8551277888198268,0.0,-0.5,1.5
distillation,Horizon DDQN standard,x4,3,standard,0.2194218569451981,0.8560341211982954,0.0,-0.2,1.0
distillation,Horizon DDQN standard,x5,4,standard,0.19665753362246968,0.9675233760701886,0.0,-0.5,0.1
distillation,Horizon DDQN standard,d1,5,standard,0.18807325604302289,0.9234113564749982,0.0,-1.5,1.0
distillation,Horizon DDQN standard,d2,6,standard,0.18342404265570011,0.9712422725088066,0.0,-2.0,1.0
distillation,Matrix SAC standard,x1,0,standard,0.13431647316329526,1.1148111780266756,0.0,-0.2,0.5
distillation,Matrix SAC standard,x2,1,standard,0.18123995037585403,1.02612943579196,5e-05,-0.2,0.5
distillation,Matrix SAC standard,x3,2,standard,0.2674541825732961,0.9973316305077213,0.013525,-0.5,1.5
distillation,Matrix SAC standard,x4,3,standard,0.25584039931030406,1.0004686970259344,0.002225,-0.2,1.0
distillation,Matrix SAC standard,x5,4,standard,0.1933491632286186,1.0190466065926937,0.0,-0.5,0.1
distillation,Matrix SAC standard,d1,5,standard,0.2246987710992323,0.994605607483945,0.015825,-1.5,1.0
distillation,Matrix SAC standard,d2,6,standard,0.20761050726746286,1.0772289920587212,0.0,-2.0,1.0
distillation,Weights SAC standard,x1,0,standard,0.1352120073449182,1.0241334537884124,0.0,-0.2,0.5
distillation,Weights SAC standard,x2,1,standard,0.17194950825255043,1.0067023502145889,0.0,-0.2,0.5
distillation,Weights SAC standard,x3,2,standard,0.20736314452669347,0.9412665249681134,0.0,-0.5,1.5
distillation,Weights SAC standard,x4,3,standard,0.19824982952099288,0.9430454975198755,0.0,-0.2,1.0
distillation,Weights SAC standard,x5,4,standard,0.18266965138145302,1.0057303430614333,0.0,-0.5,0.1
distillation,Weights SAC standard,d1,5,standard,0.1762516582577768,0.9816878411457328,0.0,-1.5,1.0
distillation,Weights SAC standard,d2,6,standard,0.17707135020312692,1.0033466914578455,0.0,-2.0,1.0
distillation,Residual TD3 mismatch,x1,0,mismatch,0.12463325268881477,1.0965004248607086,0.0,-0.2,0.5
distillation,Residual TD3 mismatch,x2,1,mismatch,0.1599873383469313,1.0672044121861781,0.0,-0.2,0.5
distillation,Residual TD3 mismatch,x3,2,mismatch,0.19084466010892215,0.9718447142624334,0.0,-0.5,1.5
distillation,Residual TD3 mismatch,x4,3,mismatch,0.18246800235435856,0.9740814506244585,0.0,-0.2,1.0
